file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,56,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,21
style.css,57,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,18
style.css,58,css,e822483b,Marija,2025-01-17,20:30:17,-08:00,2025-01-17T20:30:17-08:00,0,0
style.css,59,css,e822483b,Marija,2025-01-17,20:30:17,-08:00,2025-01-17T20:30:17-08:00,0,0
style.css,60,css,e822483b,Marija,2025-01-17,20:30:17,-08:00,2025-01-17T20:30:17-08:00,0,14
style.css,61,css,9a810976,Marija,2025-01-24,22:08:57,-08:00,2025-01-24T22:08:57-08:00,0,49
style.css,62,css,9a810976,Marija,2025-01-24,22:08:57,-08:00,2025-01-24T22:08:57-08:00,0,49
style.css,63,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,21
style.css,64,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,65,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,66,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,23
style.css,67,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,32
style.css,68,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,13
style.css,69,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,70,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,71,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,9
style.css,72,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,5
style.css,73,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,13
style.css,74,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,31
style.css,75,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,8
style.css,76,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,11
style.css,77,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,22
style.css,78,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,79,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,80,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,6
style.css,81,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,14
style.css,82,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,19
style.css,83,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,84,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,85,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,24
style.css,86,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,14
style.css,87,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,14
style.css,88,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,18
style.css,89,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,11
style.css,90,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,22
style.css,91,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,92,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,0
style.css,93,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,7
style.css,94,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,19
style.css,95,css,8aaa1626,Marija,2025-01-17,23:08:17,-08:00,2025-01-17T23:08:17-08:00,0,18
